420A,204,7.97,204,8.26,,
420B,204,8.4,205,8.27,,
420C,204,8.56,204,8.3,,
440A,193,3.26,194,3.16,,
440B,193,3.06,193,3.25,,
440C,193,3.15,192,3.29,,
460A,186,2.44,185,2.69,,
460B,185,2.65,184,2.48,,
460C,186,2.51,186,2.76,,
480A,179,3.2,178,3.06,,
480B,179,3.1,177,3.01,,
480C,178,3.02,177,3.07,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
