Wavelength / nm,Molar Absorptivity / M-1 cm-1
304.457,10791.35965
304.6689,10794.11645
304.8808,10835.78736
305.0927,10862.37827
305.3046,10881.26428
305.5164,10953.13771
305.7283,10960.01173
305.9401,11010.58139
306.152,11020.17158
306.3638,11042.59833
306.5756,11101.21749
306.7874,11135.62986
306.9992,11160.11237
307.2109,11186.04749
307.4227,11226.94169
307.6344,11276.21158
307.8462,11339.46128
308.0579,11379.26946
308.2696,11437.17716
308.4813,11465.67226
308.693,11480.60836
308.9046,11555.13362
309.1163,11620.54703
309.328,11673.71648
309.5396,11770.43786
309.7512,11827.88524
309.9628,11898.28763
310.1744,11958.70138
310.386,12014.65216
310.5976,12112.85301
310.8091,12138.36937
311.0207,12173.99135
311.2322,12244.01806
311.4437,12325.14883
311.6552,12403.81907
311.8667,12463.50977
312.0782,12505.62231
312.2897,12554.72633
312.5012,12589.70631
312.7126,12652.2247
312.924,12709.1894
313.1355,12763.97064
313.3469,12833.66023
313.5583,12889.84483
313.7696,12909.88841
313.981,12970.55222
314.1924,13027.10183
314.4037,13072.73458
314.6151,13129.59018
314.8264,13152.76593
315.0377,13235.48051
315.249,13309.00278
315.4603,13369.83307
315.6716,13430.28741
315.8828,13465.05267
316.0941,13536.19184
316.3053,13597.24696
316.5165,13647.77232
316.7277,13714.52086
316.9389,13777.12404
317.1501,13811.98595
317.3613,13875.29546
317.5724,13918.37655
317.7836,13967.1921
317.9947,14040.25961
318.2058,14071.8451
318.417,14162.7567
318.6281,14250.30016
318.8391,14315.6407
319.0502,14385.68114
319.2613,14441.95486
319.4723,14541.06572
319.6834,14610.91288
319.8944,14637.99122
320.1054,14718.78644
320.3164,14776.39678
320.5274,14841.62119
320.7383,14916.91577
320.9493,14971.26253
321.1602,15096.24075
321.3712,15184.16809
3.22E+02,15263.411
321.793,15330.45393
322.0039,15386.56532
322.2148,15439.48119
322.4257,15525.40932
322.6365,15530.37581
322.8474,15560.91193
323.0582,15643.12769
323.269,15706.99615
323.4798,15747.67028
323.6906,15767.55147
323.9014,15835.29051
324.1122,15933.55244
324.3229,15982.68028
324.5337,16059.25279
324.7444,16100.65484
324.9551,16141.30281
325.1658,16173.704
325.3765,16161.26871
325.5872,16186.3466
325.7979,16204.99838
326.0085,16238.49451
326.2192,16282.52552
326.4298,16325.53488
326.6404,16328.52433
326.851,16374.00918
327.0616,16397.81295
327.2722,16401.94258
327.4828,16434.93739
327.6933,16491.09377
327.9039,16512.12432
328.1144,16511.9433
328.3249,16518.58026
328.5354,16514.64563
328.7459,16517.9366
328.9564,16550.62274
329.1669,16576.7685
329.3773,16599.38593
329.5878,16604.18379
329.7982,16627.84875
330.0086,16592.68826
330.219,16602.33093
330.4294,16594.18236
330.6398,16545.6985
330.8502,16567.83074
331.0605,16565.18932
331.2708,16619.93329
331.4812,16631.54253
331.6915,16617.81928
331.9018,16615.13137
332.1121,16611.78531
332.3224,16598.6336
332.5326,16576.91762
332.7429,16579.86891
332.9531,16562.48792
333.1633,16550.82027
333.3735,16510.99153
333.5837,16481.00373
333.7939,16517.93298
334.0041,16521.15689
334.2143,16548.17891
334.4244,16547.54961
334.6346,16576.41441
334.8447,16606.30649
335.0548,16590.04273
335.2649,16601.97245
335.475,16587.12803
335.685,16598.35423
335.8951,16585.91541
336.1051,16607.51362
336.3152,16634.50221
336.5252,16688.80728
336.7352,16724.97657
336.9452,16765.07905
337.1552,16795.68552
337.3652,16844.83645
337.5751,16927.56698
337.7851,16998.89112
337.995,17001.10879
338.2049,17043.12709
338.4148,17132.83959
338.6247,17181.82608
338.8346,17258.89177
339.0445,17318.3384
339.2543,17386.32679
339.4642,17439.49057
339.674,17510.36842
339.8838,17593.22804
340.0936,17702.92813
340.3034,17767.58785
340.5132,17809.86079
340.7229,17837.77208
340.9327,17922.76814
341.1424,17946.96321
341.3522,18002.0232
341.5619,18024.78763
341.7716,18057.27386
341.9813,18079.98092
342.1909,18143.41058
342.4006,18197.01745
342.6102,18179.2904
342.8199,18214.51255
343.0295,18206.97815
343.2391,18241.91862
343.4487,18263.51789
343.6583,18252.36998
343.8679,18202.53121
344.0774,18183.23336
344.287,18181.50422
344.4965,18147.98451
344.706,18181.39634
344.9155,18163.10636
345.125,18090.56874
345.3345,18108.82735
345.544,18097.95567
345.7534,18098.84102
345.9629,18065.26301
346.1723,18094.83724
346.3817,18020.46498
346.5911,17980.85622
346.8005,17971.83447
347.0099,17946.19115
347.2193,17893.96438
347.4286,17850.81806
347.638,17835.06433
347.8473,17829.60533
348.0566,17793.10889
348.2659,17752.21172
348.4752,17672.54507
348.6845,17657.62914
348.8937,17597.0019
349.103,17579.90323
349.3122,17586.10702
349.5214,17543.34536
349.7306,17481.44424
349.9398,17445.51277
350.149,17420.81209
350.3582,17370.3883
350.5674,17381.4582
350.7765,17333.04438
350.9856,17315.34212
351.1948,17312.76438
351.4039,17358.45754
351.613,17353.71083
351.822,17322.98845
352.0311,17325.41517
352.2402,17351.42508
352.4492,17326.25108
352.6582,17336.39074
352.8672,17330.14711
353.0762,17303.47679
353.2852,17305.53857
353.4942,17316.24348
353.7032,17317.42032
353.9121,17318.80993
354.1211,17286.2965
354.33,17275.65968
354.5389,17248.23333
354.7478,17275.71596
354.9567,17258.31465
355.1655,17250.4519
355.3744,17192.3371
355.5833,17121.332
355.7921,17126.83365
356.0009,17132.87937
356.2097,17115.78983
356.4185,17100.32558
356.6273,17112.23027
356.8361,17111.44154
357.0448,17135.13347
357.2536,17154.11276
357.4623,17160.24483
357.671,17109.91709
357.8797,17114.49888
358.0884,17137.84279
358.2971,17171.13699
358.5057,17214.87743
358.7144,17259.47764
358.923,17241.18406
359.1316,17269.05689
359.3402,17267.85706
359.5488,17282.6023
359.7574,17310.37907
359.966,17297.65087
360.1746,17238.92121
360.3831,17230.35992
360.5916,17211.05146
360.8002,17190.15862
361.0087,17181.25089
361.2172,17098.42709
361.4256,17080.95026
361.6341,17016.37528
361.8426,17017.54565
362.051,16959.96227
362.2594,16935.04996
362.4678,16832.62134
362.6762,16747.63035
362.8846,16675.97335
363.093,16580.38671
363.3014,16515.55793
363.5097,16431.75538
363.718,16346.19483
363.9264,16224.97412
364.1347,16163.06234
364.343,16113.53097
364.5513,16069.33785
364.7595,15993.24615
364.9678,15898.49894
365.176,15832.22353
365.3842,15790.19806
365.5925,15726.97668
365.8007,15672.26644
366.0089,15604.21427
366.217,15552.01951
366.4252,15472.74188
366.6333,15434.86215
366.8415,15377.59448
367.0496,15248.39599
367.2577,15248.8385
367.4658,15196.0168
367.6739,15176.17359
367.882,15129.58052
368.09,15080.69017
368.2981,14992.28816
368.5061,14931.53674
368.7141,14832.2671
368.9221,14758.60611
369.1301,14722.7429
369.3381,14587.9363
369.5461,14532.67498
369.754,14430.73146
369.962,14402.33862
370.1699,14351.17973
370.3778,14273.69077
370.5857,14169.47975
370.7936,14104.27457
371.0015,13998.13895
371.2093,13949.32604
371.4172,13838.59057
371.625,13702.39994
371.8328,13578.12369
372.0406,13481.2738
372.2484,13448.81408
372.4562,13364.91684
372.664,13280.23498
372.8717,13196.53432
373.0795,13123.00046
373.2872,13034.40575
373.4949,12987.13453
373.7026,12881.77311
373.9103,12787.26528
374.118,12656.79239
374.3256,12539.98846
374.5333,12484.68617
374.7409,12432.74487
374.9485,12346.39504
375.1561,12236.2204
375.3637,12176.06956
375.5713,12068.27573
375.7789,11998.42348
375.9864,11944.91084
376.194,11884.43637
376.4015,11758.61428
376.609,11647.81974
376.8165,11582.62551
377.024,11539.62363
377.2315,11507.25714
377.4389,11424.9816
377.6464,11340.57932
377.8538,11238.61396
378.0612,11191.51807
378.2686,11127.61776
378.476,11041.87965
378.6834,10923.61408
378.8908,10835.69561
379.0981,10780.5594
379.3055,10740.9359
379.5128,10602.99429
379.7201,10541.76197
379.9274,10494.08791
380.1347,10422.87288
380.342,10333.76507
380.5492,10258.41564
380.7565,10193.96615
380.9637,10078.60958
381.1709,9930.312869
381.3781,9813.924164
381.5853,9759.379406
381.7925,9669.850464
381.9997,9632.173076
382.2068,9533.14969
382.4139,9442.918277
382.6211,9365.917383
382.8282,9307.196905
383.0353,9221.95467
383.2424,9170.680162
383.4494,9146.995092
383.6565,9147.541327
383.8635,9099.559377
384.0706,9059.852929
384.2776,8950.278229
384.4846,8925.760411
384.6916,8902.096242
384.8986,8844.584722
385.1055,8828.986512
385.3125,8786.773433
385.5194,8726.505021
385.7263,8651.306173
385.9333,8622.828602
386.1402,8548.7696
386.347,8551.691655
386.5539,8489.994695
386.7608,8470.538823
386.9676,8431.084669
387.1744,8354.886142
387.3813,8271.52266
387.5881,8184.927187
387.7948,8094.523521
388.0016,7999.09498
388.2084,7899.803685
388.4151,7877.296916
388.6219,7776.125726
388.8286,7698.100692
389.0353,7660.722375
389.242,7609.399926
389.4487,7605.001477
389.6553,7579.843857
389.862,7511.26059
390.0686,7447.021339
390.2753,7420.035489
390.4819,7285.141701
390.6885,7257.403243
390.8951,7196.150358
391.1016,7111.419821
391.3082,7098.624564
391.5147,7039.888723
391.7213,6993.138078
391.9278,6951.896575
392.1343,6906.216659
392.3408,6859.861872
392.5473,6849.096065
392.7537,6843.035403
392.9602,6741.496642
393.1666,6694.646511
393.373,6614.038381
393.5794,6555.108788
393.7858,6445.890456
393.9922,6412.417517
394.1986,6384.782698
394.4049,6301.682909
394.6113,6312.274041
394.8176,6239.785246
395.0239,6164.307663
395.2302,6141.731593
395.4365,6071.067877
395.6428,6021.044134
395.8491,5949.238785
396.0553,5906.447032
396.2615,5856.273947
396.4678,5833.514834
396.674,5732.946377
396.8802,5663.387301
397.0863,5671.668899
397.2925,5628.888081
397.4987,5576.626804
397.7048,5485.139927
397.9109,5483.778981
398.117,5423.210939
398.3231,5390.64177
398.5292,5355.515558
398.7353,5284.344493
398.9413,5203.301686
399.1474,5167.747731
399.3534,5117.598183
399.5594,5018.944766
399.7654,4939.698638
399.9714,4917.660675
400.1774,4877.713178
400.3833,4863.647155
400.5893,4796.852577
400.7952,4794.858428
401.0011,4745.365713
401.207,4679.270706
401.4129,4609.68489
401.6188,4562.766465
401.8247,4577.391168
402.0305,4511.111091
402.2364,4475.15096
402.4422,4425.144479
402.648,4366.952256
402.8538,4328.345125
403.0596,4355.559324
403.2654,4331.666662
403.4711,4290.479812
403.6768,4319.847371
403.8826,4311.579286
404.0883,4289.316838
404.294,4227.049161
404.4997,4172.392919
404.7054,4139.417638
404.911,4047.367942
405.1167,4031.785788
405.3223,4022.858511
405.5279,4034.494437
405.7335,4019.290601
405.9391,3988.552362
406.1447,3982.967779
406.3502,3970.335671
406.5558,3942.406746
406.7613,3949.260665
406.9668,3965.089619
407.1724,3904.839691
407.3778,3838.883561
