D4ACN5uMEx470nmA,,D4ACN5uMEx460nmA,,D4ACN5uMEx450nmA,,D4ACN5uMEx440nmA,,D4ACN5uMEx430nmA,,D4ACN5uMEx420nmA,,D4ACN5uMEx410nmA,,D4ACN5uMEx400nmA,,D4ACN5uMEx470nmB,,D4ACN5uMEx460nmB,,D4ACN5uMEx450nmB,,D4ACN5uMEx440nmB,,D4ACN5uMEx430nmB,,D4ACN5uMEx420nmB,,D4ACN5uMEx410nmB,,D4ACN5uMEx400nmB,,D4ACN5uMEx470nmC,,D4ACN5uMEx460nmC,,D4ACN5uMEx450nmC,,D4ACN5uMEx440nmC,,D4ACN5uMEx430nmC,,D4ACN5uMEx420nmC,,D4ACN5uMEx410nmC,,D4ACN5uMEx400nmC,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
575,6.028857708,565.0700073,22.32474709,555,74.74826813,545.0700073,181.9051056,535.0700073,338.2632751,525,434.4509888,515.0700073,489.6057739,505.0700073,503.8998718,575,6.198654652,565.0700073,22.42177963,555,75.52993011,545.0700073,183.2281494,535.0700073,340.0023804,525,434.1500854,515.0700073,490.9697876,505.0700073,503.2730713,575,5.89690876,565.0700073,22.47521973,555,75.72111511,545.0700073,182.8916321,535.0700073,339.3875427,525,432.1664429,515.0700073,489.0517273,505.0700073,501.4801025
576.0200195,6.035080433,565.9699707,21.83726501,556.0200195,73.31615448,545.9699707,177.5749664,535.9699707,333.4575195,526.0599976,426.1507568,515.9699707,484.4232483,505.9700012,500.9877625,576.0200195,6.09615612,565.9699707,22.19821358,556.0200195,73.9538269,545.9699707,180.3915405,535.9699707,334.5521545,526.0599976,427.0392151,515.9699707,487.6481018,505.9700012,502.1043396,576.0200195,5.815273285,565.9699707,22.13291168,556.0200195,74.29136658,545.9699707,178.9913483,535.9699707,335.3708191,526.0599976,426.5357361,515.9699707,483.9494934,505.9700012,500.0935669
577.0499878,5.74656105,567.0100098,21.46682358,557.0499878,71.63785553,547.0100098,173.8761749,537.0100098,326.8001404,526.960022,419.8143616,517.0100098,479.8826294,507.0100098,500.3453979,577.0499878,5.792391777,567.0100098,21.52584267,557.0499878,72.2334671,547.0100098,175.5754547,537.0100098,328.6688538,526.960022,421.2673035,517.0100098,481.3664551,507.0100098,498.3378601,577.0499878,5.790281296,567.0100098,21.59711456,557.0499878,71.68812561,547.0100098,175.6528168,537.0100098,326.3811035,526.960022,419.6792908,517.0100098,478.8539124,507.0100098,498.5499878
577.9400024,5.620631695,568.0499878,21.03523064,557.9400024,70.44384003,548.0499878,171.1474609,538.0499878,319.6875305,528.0300293,413.9807739,518.0499878,473.5514221,508.0499878,497.0662231,577.9400024,5.905879498,568.0499878,21.04817581,557.9400024,70.91497803,548.0499878,172.4207764,538.0499878,321.1682129,528.0300293,415.2110291,518.0499878,474.1799622,508.0499878,499.4878235,577.9400024,5.700024605,568.0499878,21.11761284,557.9400024,70.37342072,548.0499878,172.1273651,538.0499878,320.9629822,528.0300293,412.6738586,518.0499878,472.7974854,508.0499878,495.9428711
578.9699707,5.58995533,568.9500122,20.80875969,558.9699707,68.73799896,548.9500122,167.7520599,538.9500122,313.3702393,528.9299927,408.3069763,518.9500122,468.4246216,508.9500122,496.1263428,578.9699707,5.767821789,568.9500122,20.92942429,558.9699707,69.34830475,548.9500122,169.6519775,538.9500122,315.6973267,528.9299927,410.3535156,518.9500122,470.3847961,508.9500122,496.5222168,578.9699707,5.659020901,568.9500122,20.89237595,558.9699707,69.33877563,548.9500122,168.7640533,538.9500122,314.4953918,528.9299927,407.5311279,518.9500122,469.3288269,508.9500122,493.6293335
580,5.602807999,570,20.26141167,560,67.664711,550,163.4136963,540,308.5581055,530,400.3997192,520,462.3516846,510,490.7712097,580,5.601597786,570,20.51502419,560,68.01554108,550,165.9323578,540,308.7425842,530,401.6811523,520,464.9047241,510,490.8577576,580,5.608431339,570,20.35501289,560,67.83028412,550,165.5370026,540,308.5398254,530,401.0570374,520,462.2648926,510,489.4537354
581.0200195,5.46572113,571.0200195,20.16583061,561.039978,65.983078,551.0200195,160.7220764,541.039978,300.4078064,531.039978,394.15802,521.0599976,456.6355896,511.0400085,488.0960083,581.0200195,5.439517975,571.0200195,19.95029449,561.039978,66.59761047,551.0200195,161.680542,541.039978,302.1833801,531.039978,394.7364502,521.0599976,457.8386841,511.0400085,489.2120056,581.0200195,5.4054389,571.0200195,19.86637688,561.039978,66.52957153,551.0200195,161.6047211,541.039978,301.8287964,531.039978,393.8812256,521.0599976,456.5400391,511.0400085,486.2858887
582.0499878,5.362538338,572.0499878,19.7231369,561.9400024,64.45554352,552.0499878,156.7286987,541.9400024,296.0282593,531.9400024,386.8445129,521.960022,448.5525208,511.9400024,484.1116333,582.0499878,5.354011536,572.0499878,19.5559597,561.9400024,65.10243225,552.0499878,158.0494232,541.9400024,296.8491821,531.9400024,388.2782593,521.960022,452.0160522,511.9400024,487.2085571,582.0499878,5.403343201,572.0499878,19.58521843,561.9400024,64.66246796,552.0499878,157.8989563,541.9400024,295.5840149,531.9400024,385.6307678,521.960022,448.6150818,511.9400024,482.0315857
582.9400024,5.362816811,572.9400024,19.28111076,562.9799805,63.63027573,552.9400024,154.5281067,542.9799805,290.3543701,532.9799805,379.9865723,523.0300293,443.2984314,512.9799805,479.9157104,582.9400024,5.467156887,572.9400024,19.45841599,562.9799805,64.04654694,552.9400024,156.0469971,542.9799805,290.3566284,532.9799805,381.0189819,523.0300293,445.4712524,512.9799805,482.2495117,582.9400024,5.36850214,572.9400024,19.42733383,562.9799805,63.61981583,552.9400024,154.9481659,542.9799805,290.4198914,532.9799805,379.912262,523.0300293,444.3793945,512.9799805,478.1844788
583.9699707,5.220974445,573.9699707,18.89500999,564.0200195,61.8722496,553.9699707,150.6162262,544.0200195,283.4004211,534.0200195,372.5325623,523.9299927,438.2838745,514.0200195,476.7315674,583.9699707,5.388832092,573.9699707,19.23602104,564.0200195,62.57784271,553.9699707,151.7455292,544.0200195,284.2342834,534.0200195,374.2787781,523.9299927,439.8799133,514.0200195,477.5327148,583.9699707,5.071892738,573.9699707,19.10818291,564.0200195,61.97811508,553.9699707,152.0377502,544.0200195,283.5445251,534.0200195,372.8246155,523.9299927,438.9317932,514.0200195,476.1124268
585,5.226769447,575,18.4161644,565.0700073,60.6481514,555,147.7081146,545.0700073,276.0014343,535.0700073,365.269165,525,432.7532043,515.0700073,472.3526611,585,5.099942684,575,18.99067497,565.0700073,61.68380356,555,148.3591309,545.0700073,277.2406006,535.0700073,366.087738,525,433.460968,515.0700073,471.5007629,585,5.147965431,575,18.64982414,565.0700073,61.12910461,555,148.5704498,545.0700073,277.059906,535.0700073,366.3254395,525,430.9630432,515.0700073,469.3888855
586.0200195,4.963945389,576.0200195,18.30239677,565.9699707,59.33751297,556.0200195,143.7848206,545.9699707,270.9602966,535.9699707,360.7139893,526.0599976,425.1019287,515.9699707,466.7001648,586.0200195,4.983665943,576.0200195,18.32480621,565.9699707,60.21596909,556.0200195,144.7153778,545.9699707,272.186615,535.9699707,361.2284851,526.0599976,427.1562805,515.9699707,468.5822449,586.0200195,4.888353825,576.0200195,18.384655,565.9699707,60.09931183,556.0200195,144.8817291,545.9699707,270.6051636,535.9699707,359.5888672,526.0599976,426.7062683,515.9699707,465.7632751
587.0499878,5.0050354,577.0499878,18.09503365,567.0100098,58.26445007,557.0499878,141.1565857,547.0100098,264.3019714,537.0100098,352.644043,526.960022,419.003479,517.0100098,460.7818604,587.0499878,4.981990337,577.0499878,17.93041611,567.0100098,59.18355942,557.0499878,142.563736,547.0100098,265.3951721,537.0100098,354.4393921,526.960022,419.7455139,517.0100098,461.6087341,587.0499878,5.012578011,577.0499878,17.88802147,567.0100098,59.00278473,557.0499878,142.2678528,547.0100098,265.230896,537.0100098,352.4325256,526.960022,417.84375,517.0100098,459.916748
587.9400024,4.911975861,577.9400024,17.72073555,568.0499878,57.2959404,557.9400024,137.7975311,548.0499878,260.4291382,538.0499878,346.0663757,528.0300293,411.1871338,518.0499878,456.5194397,587.9400024,4.854279041,577.9400024,17.81305122,568.0499878,57.67690659,557.9400024,139.2738953,548.0499878,261.6222839,538.0499878,347.424408,528.0300293,414.697998,518.0499878,456.1723938,587.9400024,4.953537464,577.9400024,17.67607117,568.0499878,57.80191422,557.9400024,139.0409546,548.0499878,260.369873,538.0499878,345.9310913,528.0300293,413.7793884,518.0499878,455.0533447
588.9699707,4.835932732,578.9699707,17.37062263,568.9500122,56.33304596,558.9699707,135.4729614,548.9500122,255.1499023,538.9500122,339.4216919,528.9299927,408.0429077,518.9500122,452.5714111,588.9699707,4.853919029,578.9699707,17.56406403,568.9500122,56.61274338,558.9699707,135.9197845,548.9500122,255.9194031,538.9500122,340.2082214,528.9299927,407.624176,518.9500122,452.7451477,588.9699707,4.766555309,578.9699707,17.44065857,568.9500122,55.8814888,558.9699707,135.8598633,548.9500122,254.9135132,538.9500122,338.5005798,528.9299927,407.7279053,518.9500122,450.0501404
590,4.79872179,580,17.08986664,570,54.76226425,560,131.4635162,550,249.3559723,540,332.3602295,530,398.0291443,520,445.6688232,590,4.856286049,580,17.26881599,570,54.97016907,560,133.141037,550,249.8442535,540,333.7698059,530,401.0584412,520,446.4243164,590,4.813773155,580,17.19828987,570,55.14940262,560,133.1015778,550,248.5327454,540,332.4169617,530,400.4865723,520,443.2795105
591.0200195,4.665743828,581.0200195,16.75802803,571.0200195,53.85191727,561.039978,128.7236176,551.0200195,242.2442169,541.039978,324.9190369,531.039978,393.3229675,521.0599976,439.0249023,591.0200195,4.69721508,581.0200195,16.86779213,571.0200195,54.29197693,561.039978,130.078064,551.0200195,244.1478882,541.039978,325.884613,531.039978,395.4449768,521.0599976,440.7543335,591.0200195,4.681060791,581.0200195,16.9446888,571.0200195,53.82778168,561.039978,129.906723,551.0200195,242.5483093,541.039978,324.9205627,531.039978,392.3356934,521.0599976,436.6233826
592.0499878,4.733158112,582.0499878,16.41456413,572.0499878,52.3441391,561.9400024,126.6130981,552.0499878,237.8138428,541.9400024,318.6582642,531.9400024,386.8881531,521.960022,433.2932434,592.0499878,4.822992325,582.0499878,16.58867264,572.0499878,52.89323425,561.9400024,127.9198074,552.0499878,238.0108948,541.9400024,320.4432068,531.9400024,387.0291138,521.960022,434.1767883,592.0499878,4.58929491,582.0499878,16.48118973,572.0499878,52.6044693,561.9400024,127.2153854,552.0499878,237.5560303,541.9400024,319.8807373,531.9400024,385.8711243,521.960022,433.4059448
592.9400024,4.636550426,582.9400024,16.06200409,572.9400024,51.76340103,562.9799805,123.5367508,552.9400024,234.4380035,542.9799805,312.5898743,532.9799805,379.0878296,523.0300293,428.2840881,592.9400024,4.52869606,582.9400024,16.25941849,572.9400024,51.72879028,562.9799805,124.208725,552.9400024,234.4712372,542.9799805,313.6268921,532.9799805,381.4214172,523.0300293,428.2102356,592.9400024,4.73154211,582.9400024,16.20916939,572.9400024,51.45014954,562.9799805,124.2032852,552.9400024,233.9511261,542.9799805,312.7845764,532.9799805,379.2856445,523.0300293,428.3094177
593.9699707,4.660835266,583.9699707,15.652174,573.9699707,50.33420181,564.0200195,121.0941467,553.9699707,227.814621,544.0200195,305.0307312,534.0200195,372.611969,523.9299927,423.4045715,593.9699707,4.70544529,583.9699707,15.94959927,573.9699707,50.91473007,564.0200195,121.6498337,553.9699707,229.5817871,544.0200195,306.1803894,534.0200195,373.5344238,523.9299927,424.8816528,593.9699707,4.50356102,583.9699707,16.11105728,573.9699707,50.76294708,564.0200195,121.3917313,553.9699707,228.6305084,544.0200195,305.5980835,534.0200195,371.9753418,523.9299927,421.6188965
595,4.36457634,585,15.67326069,575,49.67972183,565.0700073,117.5195389,555,223.2840881,545.0700073,297.3777771,535.0700073,364.6852112,525,418.3842773,595,4.612179756,585,15.57551479,575,50.16978073,565.0700073,119.102417,555,223.8197174,545.0700073,299.8669739,535.0700073,367.4117737,525,417.2054749,595,4.337599277,585,15.49864197,575,50.03467178,565.0700073,118.6701508,555,222.6311951,545.0700073,297.4656372,535.0700073,365.6433716,525,415.4902649
596.0200195,4.604293346,586.0200195,15.39883137,576.0200195,48.46484375,565.9699707,115.4880676,556.0200195,217.5823364,545.9699707,291.7726746,535.9699707,359.7427673,526.0599976,411.3728943,596.0200195,4.407255173,586.0200195,15.49696827,576.0200195,48.98053741,565.9699707,116.9125443,556.0200195,219.1704712,545.9699707,293.0714417,535.9699707,359.612915,526.0599976,411.1436462,596.0200195,4.385670662,586.0200195,15.23171043,576.0200195,48.92011642,565.9699707,116.6964569,556.0200195,217.2188568,545.9699707,290.3596191,535.9699707,359.4573975,526.0599976,408.5054016
597.0499878,4.386367321,587.0499878,15.14492893,577.0499878,47.01796341,567.0100098,113.282074,557.0499878,212.1154633,547.0100098,286.444397,537.0100098,351.842926,526.960022,405.408844,597.0499878,4.267487049,587.0499878,15.11207676,577.0499878,47.84974289,567.0100098,114.4209442,557.0499878,213.2253113,547.0100098,286.5818176,537.0100098,352.9408264,526.960022,405.8427734,597.0499878,4.403478622,587.0499878,15.17394924,577.0499878,47.56851959,567.0100098,113.675972,557.0499878,212.7444,547.0100098,285.906311,537.0100098,351.8600769,526.960022,403.35849
597.9400024,4.245806217,587.9400024,14.85976696,577.9400024,46.17567062,568.0499878,110.3157501,557.9400024,209.0901947,548.0499878,280.3419495,538.0499878,345.2147522,528.0300293,396.8587646,597.9400024,4.363853455,587.9400024,15.15880585,577.9400024,47.05239868,568.0499878,111.8153229,557.9400024,209.5446472,548.0499878,280.7114868,538.0499878,346.7359009,528.0300293,397.6831055,597.9400024,4.327141762,587.9400024,14.7957449,577.9400024,46.99660492,568.0499878,111.4166641,557.9400024,207.7934875,548.0499878,280.4766235,538.0499878,343.8922729,528.0300293,398.045166
598.9699707,4.257314682,588.9699707,14.69785023,578.9699707,45.68338013,568.9500122,107.7368851,558.9699707,202.8419495,548.9500122,274.0020142,538.9500122,338.7406616,528.9299927,391.5003357,598.9699707,4.355880737,588.9699707,14.55514145,578.9699707,46.02809143,568.9500122,109.5714722,558.9699707,204.1143646,548.9500122,275.0429688,538.9500122,340.3885193,528.9299927,393.1211853,598.9699707,4.192203522,588.9699707,14.55114365,578.9699707,46.09405899,568.9500122,109.0616837,558.9699707,203.7168121,548.9500122,275.5089417,538.9500122,339.1001282,528.9299927,391.0866699
600,4.042120934,590,14.51415062,580,45.00490952,570,105.5676041,560,198.1699829,550,267.7322388,540,331.7042236,530,385.2801514,600,4.153015137,590,14.51918697,580,44.88683701,570,106.741951,560,198.9332733,550,269.8276062,540,334.892334,530,386.286499,600,4.290341854,590,14.15982246,580,45.06487274,570,105.8107986,560,198.3293915,550,268.013855,540,331.7862244,530,384.1343689
601.0200195,4.111727238,591.0200195,14.31597519,581.0200195,43.98820496,571.0200195,102.7365189,561.039978,193.8540192,551.0200195,261.5429688,541.039978,322.3006592,531.039978,378.6654358,601.0200195,4.098462105,591.0200195,14.40537071,581.0200195,44.06343079,571.0200195,104.4296188,561.039978,195.6202087,551.0200195,262.5178833,541.039978,325.1576233,531.039978,380.622406,601.0200195,4.152997494,591.0200195,14.13833141,581.0200195,44.09711838,571.0200195,103.7089844,561.039978,194.0075378,551.0200195,261.1046753,541.039978,325.2486877,531.039978,376.1770935
602.0499878,4.061941624,592.0499878,13.92086887,582.0499878,43.67258835,572.0499878,101.0764389,561.9400024,190.6114044,552.0499878,255.2798615,541.9400024,319.1570435,531.9400024,371.1515808,602.0499878,4.062688351,592.0499878,13.88477993,582.0499878,43.44872284,572.0499878,101.1954498,561.9400024,191.7115479,552.0499878,256.0802612,541.9400024,319.145874,531.9400024,374.3461609,602.0499878,3.911046743,592.0499878,14.03711891,582.0499878,43.56646729,572.0499878,101.4850616,561.9400024,189.9410553,552.0499878,255.6402435,541.9400024,318.0948792,531.9400024,370.6977234
602.9400024,3.976850748,592.9400024,13.54094601,582.9400024,42.27780914,572.9400024,98.06829834,562.9799805,185.0576477,552.9400024,251.3197632,542.9799805,311.2306213,532.9799805,366.3154602,602.9400024,3.867595434,592.9400024,13.81147194,582.9400024,42.50605392,572.9400024,100.1193771,562.9799805,185.5250092,552.9400024,252.8955383,542.9799805,313.8002625,532.9799805,367.0791321,602.9400024,3.958512545,592.9400024,13.529809,582.9400024,42.48888016,572.9400024,99.48732758,562.9799805,185.2741394,552.9400024,250.6797638,542.9799805,311.0297241,532.9799805,365.3336182
603.9699707,3.930410385,593.9699707,13.44527054,583.9699707,41.47373581,573.9699707,96.34872437,564.0200195,180.3778381,553.9699707,244.8237305,544.0200195,304.5370483,534.0200195,357.4158325,603.9699707,4.073624134,593.9699707,13.52216434,583.9699707,41.62648773,573.9699707,97.78073883,564.0200195,181.2983093,553.9699707,246.071106,544.0200195,305.0967407,534.0200195,359.5488892,603.9699707,3.926822901,593.9699707,13.51939297,583.9699707,41.56223297,573.9699707,97.28298187,564.0200195,181.1859131,553.9699707,245.680954,544.0200195,306.0465698,534.0200195,357.7984924
605,3.844055176,595,13.22085857,585,40.43941498,575,93.91719055,565.0700073,175.6185913,555,239.481308,545.0700073,297.6581421,535.0700073,352.206543,605,3.988234758,595,13.20649052,585,40.62897491,575,95.40135956,565.0700073,176.6090851,555,240.9881439,545.0700073,298.9863586,535.0700073,353.4477234,605,3.845371723,595,13.22326565,585,40.77879333,575,94.50646973,565.0700073,175.6158752,555,240.1981506,545.0700073,298.3422241,535.0700073,352.1538391
606.0200195,3.877322197,596.0200195,13.05021858,586.0200195,39.84085083,576.0200195,92.34949493,565.9699707,173.5624084,556.0200195,233.751297,545.9699707,290.2521973,535.9699707,347.2141418,606.0200195,3.812935114,596.0200195,12.99667168,586.0200195,40.12826538,576.0200195,92.70661926,565.9699707,173.3294067,556.0200195,235.6287994,545.9699707,291.5197144,535.9699707,348.7955933,606.0200195,3.858838081,596.0200195,13.02260017,586.0200195,40.00112534,576.0200195,92.94876862,565.9699707,172.7023773,556.0200195,234.0812683,545.9699707,292.555603,535.9699707,345.3642883
607.0499878,3.667377472,597.0499878,12.62426567,587.0499878,38.81214142,577.0499878,89.7980423,567.0100098,168.6497803,557.0499878,228.8127441,547.0100098,286.8933411,537.0100098,338.1082458,607.0499878,3.788185596,597.0499878,12.75734138,587.0499878,39.55575943,577.0499878,90.66841888,567.0100098,169.9025421,557.0499878,229.4375305,547.0100098,285.7872925,537.0100098,340.7712708,607.0499878,3.707725048,597.0499878,12.67621136,587.0499878,39.11351395,577.0499878,91.02281189,567.0100098,169.0446777,557.0499878,228.3388672,547.0100098,285.7825012,537.0100098,339.8941345
607.9400024,3.51591301,597.9400024,12.42123127,587.9400024,38.23325348,577.9400024,88.29798126,568.0499878,164.2908325,557.9400024,222.655304,548.0499878,280.3149109,538.0499878,332.941925,607.9400024,3.647587061,597.9400024,12.59879112,587.9400024,38.91320419,577.9400024,89.36547089,568.0499878,165.0699615,557.9400024,224.789917,548.0499878,282.2836914,538.0499878,334.2232361,607.9400024,3.645634413,597.9400024,12.46604538,587.9400024,38.71238708,577.9400024,89.43890381,568.0499878,164.1196136,557.9400024,223.4163971,548.0499878,280.5361633,538.0499878,332.1466675
608.9699707,3.782226563,598.9699707,12.38313198,588.9699707,37.60231781,578.9699707,86.18723297,568.9500122,160.3260498,558.9699707,217.8916168,548.9500122,273.8145142,538.9500122,326.6529846,608.9699707,3.659703493,598.9699707,12.35615063,588.9699707,37.72171402,578.9699707,87.55329132,568.9500122,162.0595398,558.9699707,219.3105774,548.9500122,275.3175659,538.9500122,327.0975952,608.9699707,3.550536633,598.9699707,12.46127129,588.9699707,38.09980774,578.9699707,87.07128143,568.9500122,161.4177246,558.9699707,217.9436188,548.9500122,275.1922302,538.9500122,326.84552
610,3.531446218,600,12.01150227,590,37.01881409,580,84.90782166,570,155.8294373,560,212.6337738,550,268.1770935,540,320.9609985,610,3.642340899,600,12.02709293,590,37.39259338,580,85.24706268,570,157.6907501,560,214.4353333,550,268.686676,540,320.4874878,610,3.598337173,600,12.18780804,590,37.26433563,580,85.29240417,570,157.1644592,560,213.0382843,550,269.4294434,540,319.9180603
611.0200195,3.515280485,601.0200195,11.80861378,591.0200195,36.49523163,581.0200195,82.69463348,571.0200195,153.1564484,561.039978,207.0648193,551.0200195,261.6553955,541.039978,311.5186768,611.0200195,3.435619116,601.0200195,12.04960823,591.0200195,36.42298889,581.0200195,84.33026886,571.0200195,154.0894623,561.039978,209.0912628,551.0200195,263.5053711,541.039978,315.158783,611.0200195,3.591803551,601.0200195,11.77216816,591.0200195,36.59309769,581.0200195,83.4437561,571.0200195,153.5110931,561.039978,207.6713409,551.0200195,261.675415,541.039978,312.4761047
612.0499878,3.536806583,602.0499878,11.69122696,592.0499878,35.89851379,582.0499878,80.94334412,572.0499878,149.1555786,561.9400024,204.3576965,552.0499878,255.4339142,541.9400024,306.7062683,612.0499878,3.383749485,602.0499878,11.84231949,592.0499878,35.88985825,582.0499878,81.95877075,572.0499878,150.5008698,561.9400024,205.0491028,552.0499878,258.6730347,541.9400024,308.0158691,612.0499878,3.544394493,602.0499878,11.82610607,592.0499878,35.68991852,582.0499878,81.83934784,572.0499878,150.0823975,561.9400024,204.2510834,552.0499878,256.0015869,541.9400024,307.9640808
612.9400024,3.509796381,602.9400024,11.60103321,592.9400024,34.96638489,582.9400024,79.44503021,572.9400024,145.9476776,562.9799805,198.9895325,552.9400024,251.2778625,542.9799805,300.2281799,612.9400024,3.492346525,602.9400024,11.61180401,592.9400024,35.31596375,582.9400024,80.3405838,572.9400024,147.3774872,562.9799805,199.6202545,552.9400024,252.9035797,542.9799805,301.8816833,612.9400024,3.29813695,602.9400024,11.47320652,592.9400024,35.00619507,582.9400024,79.89073181,572.9400024,145.3996124,562.9799805,198.0552216,552.9400024,251.0635223,542.9799805,300.3937683
613.9699707,3.311622381,603.9699707,11.25814247,593.9699707,34.24926758,583.9699707,77.63514709,573.9699707,142.9553223,564.0200195,193.1713715,553.9699707,244.8618011,544.0200195,293.5242615,613.9699707,3.543345928,603.9699707,11.46714592,593.9699707,34.31235123,583.9699707,78.44080353,573.9699707,144.1768799,564.0200195,193.7526093,553.9699707,246.3626404,544.0200195,295.9790955,613.9699707,3.428857327,603.9699707,11.34427643,593.9699707,34.24655151,583.9699707,77.72872925,573.9699707,142.9180145,564.0200195,193.8323822,553.9699707,245.8865814,544.0200195,293.5125427
615,3.19402957,605,11.1747303,595,33.29317856,585,75.84941864,575,138.9932404,565.0700073,189.4624481,555,240.6040802,545.0700073,287.8326721,615,3.266627073,605,11.25017929,595,33.77804184,585,76.60890961,575,140.5619202,565.0700073,188.8631592,555,240.583374,545.0700073,288.7017822,615,3.25658989,605,11.05053902,595,33.64835739,585,76.58587646,575,139.7770538,565.0700073,188.4515076,555,238.7357025,545.0700073,287.7391968
616.0200195,3.317789316,606.0200195,11.00966167,596.0200195,32.73192596,586.0200195,74.36909485,576.0200195,136.7602844,565.9699707,185.9417114,556.0200195,233.6024017,545.9699707,280.7679749,616.0200195,3.399279356,606.0200195,11.14563179,596.0200195,33.40317535,586.0200195,75.07021332,576.0200195,136.9715576,565.9699707,186.0687103,556.0200195,235.9774475,545.9699707,283.2872925,616.0200195,3.32327199,606.0200195,10.94779968,596.0200195,32.75180435,586.0200195,75.24447632,576.0200195,135.799881,565.9699707,185.0142975,556.0200195,234.7428589,545.9699707,282.5386353
617.0499878,3.247632027,607.0499878,10.83657646,597.0499878,31.94302368,587.0499878,72.43398285,577.0499878,131.9570618,567.0100098,181.085968,557.0499878,229.0385895,547.0100098,275.4419556,617.0499878,3.156233549,607.0499878,10.88890839,597.0499878,32.68917847,587.0499878,73.67498016,577.0499878,133.4249725,567.0100098,181.1283264,557.0499878,229.759903,547.0100098,277.5355835,617.0499878,3.129909515,607.0499878,10.81273079,597.0499878,32.13734818,587.0499878,73.61530304,577.0499878,132.9328918,567.0100098,181.1393127,557.0499878,229.6694946,547.0100098,275.4796448
617.9400024,3.073313475,607.9400024,10.63615608,597.9400024,31.79108429,587.9400024,71.57754517,577.9400024,129.8470612,568.0499878,176.1765442,557.9400024,224.0114136,548.0499878,270.0741882,617.9400024,3.219945192,607.9400024,10.7963438,597.9400024,31.85993767,587.9400024,72.07810974,577.9400024,130.488205,568.0499878,176.9260864,557.9400024,225.7634125,548.0499878,270.7450562,617.9400024,3.267615318,607.9400024,10.56173134,597.9400024,31.55171585,587.9400024,71.69244385,577.9400024,130.5871124,568.0499878,175.7034302,557.9400024,223.5120392,548.0499878,270.1977539
618.9699707,3.173628807,608.9699707,10.59502411,598.9699707,30.84900665,588.9699707,69.72721863,578.9699707,127.1052246,568.9500122,172.9923706,558.9699707,217.6855469,548.9500122,264.3538818,618.9699707,3.105724096,608.9699707,10.66011047,598.9699707,31.20333672,588.9699707,70.8713913,578.9699707,128.2510376,568.9500122,172.9762115,558.9699707,218.8800201,548.9500122,267.2579041,618.9699707,3.168614388,608.9699707,10.39193726,598.9699707,30.94675636,588.9699707,70.55828094,578.9699707,126.9380264,568.9500122,172.4247742,558.9699707,217.2536926,548.9500122,263.774353
620,3.2030828,610,10.40240955,600,30.59808159,590,67.84616089,580,123.4937439,570,167.8912048,560,212.740799,550,259.1192932,620,3.245084286,610,10.4686079,600,30.42848015,590,68.897995,580,125.8329773,570,167.7225342,560,213.7902069,550,260.4680176,620,3.072074652,610,10.23471451,600,30.73999405,590,69.30163574,580,123.7260742,570,167.0639801,560,213.4990082,550,259.079071
621.0100098,2.965715885,611.0200195,10.14715099,601.0200195,29.72040558,591.0200195,66.36296082,581.0200195,122.1192245,571.0200195,162.9428253,561.039978,208.7894135,551.0200195,253.0952759,621.0100098,3.176781178,611.0200195,9.985415459,601.0200195,30.28846359,591.0200195,67.79094696,581.0200195,121.9592133,571.0200195,164.2034912,561.039978,209.3047333,551.0200195,253.0139618,621.0100098,3.063647032,611.0200195,10.03272533,601.0200195,30.04085159,591.0200195,67.4596405,581.0200195,121.891037,571.0200195,163.4334869,561.039978,207.4686127,551.0200195,251.3435822
622.0200195,2.883749962,612.0499878,10.10928345,602.0499878,29.46230698,592.0499878,65.44976807,582.0499878,119.0840912,572.0499878,158.7893829,561.9400024,204.1481628,552.0499878,246.3596497,622.0200195,2.939956665,612.0499878,10.05283165,602.0499878,29.85607338,592.0499878,66.59460449,582.0499878,119.5976868,572.0499878,159.7327271,561.9400024,204.9042053,552.0499878,248.0416412,622.0200195,2.913230896,612.0499878,9.854779243,602.0499878,29.4470768,592.0499878,65.88023376,582.0499878,118.8717117,572.0499878,159.2524719,561.9400024,204.8887177,552.0499878,245.7860107
